timestamps,words,terms,,,,,Marker
53366.111055788,1,A,87.01534271240234,85.02603912353516,186.43589782714844,157.02101135253906,0
53366.112138327,1,A,126.6673355102539,33.527618408203125,232.48049926757812,112.0492935180664,0
53366.112559166,1,A,138.42434692382812,123.6945571899414,248.57374572753906,142.62648010253906,0
53366.113605146,1,A,51.967803955078125,131.0706329345703,169.18035888671875,136.90443420410156,0
53366.114081067,1,A,120.00651550292969,80.28746795654297,166.22991943359375,88.62466430664062,0
53366.115199904,1,A,129.1707305908203,99.86759185791016,271.10430908203125,102.66156005859375,0
53366.115640457,1,A,123.53809356689453,79.34869384765625,165.38055419921875,137.70909118652344,0
53366.116766122,1,A,84.73546600341797,124.72273254394531,192.06854248046875,81.8297348022461,0
53366.117185614,1,A,132.61289978027344,103.399169921875,212.63214111328125,163.77122497558594,0
53366.161153886,1,A,118.53130340576172,121.05704498291016,240.52711486816406,186.9723358154297,0
53366.161693686,1,A,112.58573913574219,90.92689514160156,233.82159423828125,143.29702758789062,0
53366.163401687,1,A,105.3437728881836,115.87144470214844,265.60577392578125,155.76930236816406,0
53366.163964484,1,A,125.90737915039062,125.79561614990234,197.83529663085938,165.87229919433594,0
53366.165523232,1,A,82.27677154541016,120.02886962890625,176.86935424804688,100.11346435546875,0
53366.166056698,1,A,173.91893005371094,103.17565155029297,207.9382781982422,151.34365844726562,0
53366.167594022,1,A,152.99769592285156,67.23404693603516,278.9721374511719,174.23184204101562,0
53366.168082415,1,A,139.05020141601562,115.46910858154297,220.81288146972656,160.5972900390625,0
53366.170089313,1,A,114.06095123291016,115.06678009033203,191.21917724609375,164.9335174560547,0
53366.170820143,1,A,100.24757385253906,138.75962829589844,197.1200408935547,134.31163024902344,0
53366.211390616,1,A,147.49916076660156,103.62268829345703,216.61074829101562,183.12783813476562,0
53366.212002226,1,A,109.5458984375,100.80636596679688,197.20944213867188,164.3523712158203,0
53366.213717093,1,A,107.71305847167969,129.3271942138672,220.142333984375,201.2774658203125,0
53366.214301579,1,A,101.94630432128906,141.8888702392578,242.0917510986328,172.80133056640625,0
53366.215939752,1,A,141.55360412597656,73.9842758178711,222.24339294433594,129.7518768310547,0
53366.216472535,1,A,99.57701873779297,111.84812927246094,206.2395477294922,128.50018310546875,0
53366.218066794,1,A,41.417781829833984,134.1104736328125,248.126708984375,208.51942443847656,0
53366.218591597,1,A,93.31853485107422,95.75487518310547,168.28628540039062,175.75177001953125,0
53366.220236766,1,A,114.15036010742188,97.6324234008789,213.34739685058594,153.5341339111328,0
53366.220769742,1,A,118.17367553710938,160.12789916992188,223.58450317382812,178.34457397460938,0
53366.261181023,1,A,114.73150634765625,104.78498077392578,212.63214111328125,165.469970703125,0
53366.261730434,1,A,116.20671844482422,114.21741485595703,178.43397521972656,144.8616485595703,0
53366.263405472,1,A,82.05325317382812,126.9132080078125,208.65353393554688,162.87716674804688,0
53366.263923206,1,A,86.38949584960938,165.71583557128906,237.48728942871094,194.84014892578125,0
53366.265497125,1,A,118.6207046508789,125.52739715576172,223.00335693359375,164.44178771972656,0
53366.266036283,1,A,108.87535095214844,163.7935791015625,257.3803405761719,129.93069458007812,0
53366.267610352,1,A,163.19007873535156,109.38943481445312,172.62252807617188,176.33291625976562,0
53366.268130625,1,A,86.12126922607422,85.3836669921875,172.35430908203125,147.63327026367188,0
53366.269715692,1,A,92.3797607421875,84.26607513427734,178.25515747070312,132.03175354003906,0
53366.270246982,1,A,115.31265258789062,102.99684143066406,184.3348388671875,197.6117706298828,0
53366.311180552,1,A,135.20570373535156,142.78294372558594,254.474609375,185.40771484375,0
53366.311734891,1,A,116.7878646850586,81.5391616821289,207.04420471191406,121.97347259521484,0
53366.313332725,1,A,136.50210571289062,104.78498077392578,182.6361083984375,171.46023559570312,0
53366.313867527,1,A,127.02496337890625,107.78011322021484,206.82069396972656,131.80824279785156,0
53366.315435045,1,A,122.28639221191406,115.82673645019531,220.3658447265625,135.20570373535156,0
53366.315952067,1,A,95.91133880615234,95.62076568603516,212.14041137695312,167.57102966308594,0
53366.317529485,1,A,110.12704467773438,144.1687469482422,253.89346313476562,151.2095489501953,0
53366.318081727,1,A,96.85010528564453,106.03667449951172,227.78662109375,147.677978515625,0
53366.319835489,1,A,135.29510498046875,161.7372283935547,180.8032684326172,139.09490966796875,0
53366.320627135,1,A,166.5428466796875,133.52932739257812,235.833251953125,150.49429321289062,0
53366.360891513,1,A,107.62364959716797,157.26687622070312,257.2462158203125,129.70716857910156,0
53366.361363878,1,A,56.43815612792969,81.76268005371094,228.01014709472656,141.1959686279297,0
53366.362523932,1,A,97.02892303466797,119.58183288574219,203.37852478027344,129.9753875732422,0
53366.36293601,1,A,119.69358825683594,148.9520263671875,212.0063018798828,139.4078369140625,0
53366.363993439,1,A,111.73637390136719,167.77218627929688,199.98106384277344,155.4563751220703,0
53366.364394209,1,A,61.53435134887695,114.84326171875,234.58155822753906,139.1396026611328,0
53366.365424258,1,A,140.88304138183594,96.64894104003906,212.7215576171875,120.90058898925781,0
53366.365789339,1,A,99.88994598388672,93.74321746826172,203.24441528320312,119.87240600585938,0
53366.367005543,1,A,111.69166564941406,123.56044006347656,179.5962677001953,106.64017486572266,0
53366.367481836,1,A,142.58177185058594,136.97149658203125,233.73219299316406,136.77032470703125,0
53366.410814849,1,A,162.6536407470703,141.44183349609375,205.16665649414062,149.33200073242188,0
53366.41142599,1,A,66.67525482177734,99.42056274414062,234.7603759765625,127.24848175048828,0
53366.413040902,1,A,167.3028106689453,110.14939880371094,251.7924041748047,147.00741577148438,0
53366.413622018,1,A,169.26976013183594,137.3738250732422,195.55540466308594,150.3601837158203,0
53366.414971145,1,A,105.83551025390625,145.33103942871094,200.69631958007812,148.16970825195312,0
53366.415420609,1,A,110.17174530029297,104.2038345336914,178.79161071777344,161.40194702148438,0
53366.416564059,1,A,145.53221130371094,135.85389709472656,264.53289794921875,202.66326904296875,0
53366.417019401,1,A,126.93555450439453,97.8559341430664,235.43092346191406,103.37681579589844,0
53366.418257966,1,A,21.3906192779541,95.3525390625,205.12196350097656,128.76840209960938,0
53366.418713706,1,A,49.46440887451172,78.1417007446289,231.85464477539062,143.7887725830078,0
53366.462083096,1,A,95.01726531982422,134.06576538085938,269.80792236328125,153.35531616210938,0
53366.462869757,1,A,117.99485778808594,120.74412536621094,179.01512145996094,87.41767120361328,0
53366.465030165,1,A,72.62081909179688,139.1172637939453,126.89085388183594,157.2892303466797,0
53366.465734793,1,A,136.9491424560547,134.60220336914062,224.0315399169922,188.76048278808594,0
53366.46811115,1,A,98.0571060180664,52.705413818359375,185.85475158691406,122.77812957763672,0
53366.468829008,1,A,158.1385955810547,92.35740661621094,214.10736083984375,129.1260223388672,0
53366.560638343,1,A,134.93748474121094,118.41954040527344,209.10057067871094,176.1988067626953,0
53366.561133286,1,A,183.03843688964844,113.36804962158203,219.29296875,196.44947814941406,0
53366.562259294,1,A,155.41168212890625,99.1970443725586,193.67787170410156,175.662353515625,0
53366.562680654,1,A,100.51579284667969,13.589860916137695,118.71011352539062,130.28831481933594,0
53366.563803031,1,A,155.4563751220703,158.7867889404297,282.95074462890625,191.17446899414062,0
53366.564241178,1,A,113.16688537597656,133.52932739257812,279.5085754394531,143.96759033203125,0
53366.565398305,1,A,44.18939971923828,110.32820892333984,261.3142395019531,67.61402893066406,0
53366.566008414,1,A,54.068870544433594,176.04234313964844,274.412353515625,85.09309387207031,0
53366.567202951,1,A,51.65488052368164,112.83160400390625,264.8458251953125,100.02405548095703,0
53366.567678165,1,A,52.14662170410156,104.51675415039062,270.70196533203125,94.0337905883789,0
53366.568863003,1,A,67.1222915649414,145.33103942871094,247.9031982421875,78.78990173339844,0
53366.569337259,1,A,64.6635971069336,134.9598388671875,212.5874481201172,92.5585708618164,0
53366.570584625,1,A,101.36515808105469,104.0697250366211,238.2472381591797,129.34954833984375,0
53366.571086176,1,A,47.631568908691406,130.84710693359375,234.67095947265625,103.0191879272461,0
53366.572915867,1,A,68.41869354248047,167.86160278320312,287.42108154296875,89.60814666748047,0
53366.573447494,1,A,38.512054443359375,155.0316925048828,239.81185913085938,87.14945220947266,0
53366.574883749,1,A,37.30506134033203,91.37393188476562,242.76229858398438,101.3204574584961,0
53366.575423363,1,A,60.68498611450195,126.51087188720703,285.7670593261719,110.08234405517578,0
53366.611275879,1,A,17.367305755615234,138.93844604492188,246.427978515625,115.98320007324219,0
53366.611840917,1,A,96.98422241210938,134.78102111816406,293.8583984375,94.83845520019531,0
53366.613394668,1,A,95.19608306884766,177.38343811035156,261.7165832519531,87.5517807006836,0
53366.613946642,1,A,83.97550201416016,163.16773986816406,238.42605590820312,124.74508666992188,0
53366.615533471,1,A,44.18939971923828,131.785888671875,316.0760192871094,138.20083618164062,0
53366.616059956,1,A,61.087318420410156,149.26495361328125,357.4267578125,129.9753875732422,0
53366.660639752,1,A,67.39051055908203,99.68878173828125,290.05859375,55.767601013183594,0
53366.661089481,1,A,54.4712028503418,141.12892150878906,282.2801818847656,111.24462890625,0
53366.662165623,1,A,97.20773315429688,130.35537719726562,279.8215026855469,169.8061981201172,0
53366.662561419,1,A,75.4371337890625,120.29708862304688,332.6163024902344,114.59739685058594,0
53366.663692051,1,A,54.292388916015625,152.88592529296875,293.0984191894531,74.63247680664062,0
53366.66414101,1,A,58.71803283691406,161.1560821533203,291.66790771484375,124.87919616699219,0
53366.665675355,1,A,51.83369445800781,116.13966369628906,324.793212890625,106.77428436279297,0
53366.666236992,1,A,14.595688819885254,126.77909088134766,266.76806640625,71.32441711425781,0
53366.667353474,1,A,34.846370697021484,129.4613037109375,292.1149597167969,142.8052978515625,0
53366.66777291,1,A,66.98817443847656,204.83139038085938,242.13644409179688,101.00753021240234,0
53366.668869084,1,A,67.61402893066406,105.63434600830078,308.7446594238281,143.6546630859375,0
53366.669280993,1,A,66.18351745605469,143.72171020507812,302.9779052734375,111.69166564941406,0
53366.670411998,1,A,43.92117691040039,136.25624084472656,286.16937255859375,123.58279418945312,0
53366.670827377,1,A,59.29917907714844,157.8480224609375,306.1071472167969,67.39051055908203,0
53366.710676836,1,A,46.73749923706055,153.15415954589844,274.90411376953125,90.904541015625,0
53366.711119483,1,A,15.757979393005371,143.67701721191406,258.81085205078125,112.54103088378906,0
53366.712168649,1,A,70.47505187988281,116.58670043945312,262.5659484863281,125.77326965332031,0
53366.712599422,1,A,28.94550895690918,137.8655548095703,261.98480224609375,116.16201782226562,0
